method,seed,variant,evaluation,n,tflite_bytes,conversion_seconds,evaluation_seconds,accuracy,macro_f1,multiclass_gmean,balanced_accuracy,original_macro_f1,delta_macro_f1_vs_original,agreement_with_original,agreement_with_fp32,max_raw_row_sum_error,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
yolo11n,43,int8_dynamic,test_occlusion,500,1734464,0.0492849430302158,0.337445994024165,0.926,0.9262091154869908,0.9235167174226796,0.9292935045866004,0.9219619805249152,0.0042471349620755,0.992,0.992,1.788139343261719e-07,0.9701492537313432,0.896551724137931,0.6911764705882353,1.0,0.9264705882352942,0.95,1.0,1.0
yolo11n,43,int8_static,test_occlusion,500,1805136,4.175409088958986,0.1775382959749549,0.912,0.9114468552023433,0.9066004640744229,0.9159630287180922,0.9219619805249152,-0.0105151253225721,0.99,0.99,0.0078125,0.9701492537313432,0.8793103448275862,0.6176470588235294,0.984126984126984,0.9264705882352942,0.95,1.0,1.0
yolo11n,43,fp32,test_rotation,500,6266700,9.311402581981383,0.2910516599658876,0.94,0.9411403828355916,0.9394450230396711,0.9422877943423038,0.9411403828355916,0.0,1.0,1.0,2.384185791015625e-07,0.9850746268656716,0.896551724137931,0.7794117647058824,0.984126984126984,0.9264705882352942,0.9666666666666668,1.0,1.0
yolo11n,43,fp16_weights,test_rotation,500,3226800,0.0519806030206382,0.296356240985915,0.94,0.9411403828355916,0.9394450230396711,0.9422877943423038,0.9411403828355916,0.0,1.0,1.0,1.788139343261719e-07,0.9850746268656716,0.896551724137931,0.7794117647058824,0.984126984126984,0.9264705882352942,0.9666666666666668,1.0,1.0
yolo11n,43,int8_dynamic,test_rotation,500,1734464,0.0492849430302158,0.3255199380218982,0.926,0.9269584819924036,0.923398105595319,0.9280975261094316,0.9411403828355916,-0.0141819008431878,0.974,0.974,1.788139343261719e-07,0.9552238805970148,0.8275862068965517,0.7352941176470589,0.984126984126984,0.9558823529411764,0.9666666666666668,1.0,1.0
yolo11n,43,int8_static,test_rotation,500,1805136,4.175409088958986,0.1624732359778136,0.928,0.9287735806386264,0.925189407886969,0.9299631977512228,0.9411403828355916,-0.0123668021969651,0.976,0.976,0.0078125,0.9701492537313432,0.8275862068965517,0.7352941176470589,0.984126984126984,0.9558823529411764,0.9666666666666668,1.0,1.0
yolo11n_random,42,fp32,test_clean,500,6266700,9.893014439963736,0.2985832629492506,0.86,0.8640402292700274,0.8562886455826935,0.8625370611751247,0.8640402292700274,0.0,1.0,1.0,2.384185791015625e-07,0.8955223880597015,0.6896551724137931,0.8235294117647058,0.8571428571428571,0.7352941176470589,0.95,1.0,0.9491525423728814
yolo11n_random,42,fp16_weights,test_clean,500,3226800,0.0500305710593238,0.3063115960685536,0.86,0.8640402292700274,0.8562886455826935,0.8625370611751247,0.8640402292700274,0.0,1.0,1.0,2.384185791015625e-07,0.8955223880597015,0.6896551724137931,0.8235294117647058,0.8571428571428571,0.7352941176470589,0.95,1.0,0.9491525423728814
yolo11n_random,42,int8_dynamic,test_clean,500,1734464,0.0483057670062407,0.313018967048265,0.858,0.8620160030082635,0.8543621856835699,0.8606988258810071,0.8640402292700274,-0.0020242262617639,0.998,0.998,2.384185791015625e-07,0.8955223880597015,0.6896551724137931,0.8088235294117647,0.8571428571428571,0.7352941176470589,0.95,1.0,0.9491525423728814
yolo11n_random,42,int8_static,test_clean,500,1805136,4.166464940994047,0.1644957999233156,0.856,0.8599865329191105,0.8523179800257515,0.8591775277065649,0.8640402292700274,-0.0040536963509169,0.992,0.992,0.0078125,0.8955223880597015,0.7068965517241379,0.8235294117647058,0.8571428571428571,0.6911764705882353,0.95,1.0,0.9491525423728814
yolo11n_random,42,fp32,test_blur,500,6266700,9.893014439963736,0.286219589994289,0.846,0.852014565610002,0.84472326067429,0.8514420424505307,0.852014565610002,0.0,1.0,1.0,1.788139343261719e-07,0.8507462686567164,0.7931034482758621,0.75,0.8253968253968254,0.6764705882352942,0.9666666666666668,1.0,0.9491525423728814
