run,method,scenario,seed,status,error,path,stage,seconds,cpu_seconds,samples,cpu_core_percent_mean,cpu_core_percent_peak,rss_mb_mean,rss_mb_peak,gpu_global_percent_mean,gpu_global_percent_peak,gpu_process_mb_mean,gpu_process_mb_peak
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,prepare_val_clean,0.004821646958589554,0.010000000000004006,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,evaluate_val_clean,17.302212299895473,69.20000000000002,85,397.7494117647058,409.0,531.2044092235295,547.30752,35.63529411764706,47.0,0.0,0.0
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,prepare_test_clean,0.004712068010121584,2.220446049250313e-15,0,,,,,,,,
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,evaluate_test_clean,16.05718883499503,64.21999999999997,78,398.97948717948714,411.2,565.4373087179486,582.377472,30.102564102564102,38.0,0.0,0.0
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,inference_batch1,1.584055026061833,6.299999999999988,7,392.2857142857143,401.5,582.725632,582.725632,36.714285714285715,38.0,0.0,0.0
few100__polygarbor_p3__seed43,polygarbor_p3,few100,43,complete,,runs/2026-09-12/few100__polygarbor_p3__seed43,explanations,0.00034687190782278776,5.662137425588298e-15,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,read_data,0.016860993928276002,0.019999999999999962,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,build_model,0.0002996979746967554,-5.551115123125783e-17,0,,,,,,,,
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,extract_features,19.604999789968133,19.67,97,100.29484536082475,104.6,399.6138253195877,401.436672,35.71134020618557,59.0,0.0,0.0
few100__polygarbor_p3_aug__seed42,polygarbor_p3_aug,few100,42,complete,,runs/2026-09-12/few100__polygarbor_p3_aug__seed42,fit,0.4413895739708096,1.749999999999996,2,298.7,398.3,441.39520000000005,454.443008,27.5,35.0,0.0,0.0
