vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty,C,gamma,selection_val_macro_f1
polygarbor,nearest_centroid,few50,43,50,400,complete,,0.0012503350008046255,0.6758257765985434,0.614209685583308,0.5911231522108136,0.6163250672421556,0.61,0.6119402985074627,0.4482758620689655,0.4411764705882353,0.6031746031746031,0.5,0.48333333333333334,0.8596491228070176,0.9830508474576272,,,
polygarbor,svm_default,few50,43,50,400,complete,,0.0033559709991095588,0.8085144880777829,0.7711245313779682,0.756647821481972,0.7716547848168993,0.77,0.6268656716417911,0.5517241379310345,0.7794117647058824,0.6349206349206349,0.8823529411764706,0.75,0.9649122807017544,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few50,43,50,400,complete,,0.36847897700135945,0.8552717186678074,0.8174920581934437,0.8095932593839232,0.8175461594659184,0.816,0.7761194029850746,0.603448275862069,0.7794117647058824,0.8412698412698413,0.8088235294117647,0.7833333333333333,0.9649122807017544,0.9830508474576272,1000.0,0.01,0.8552717186678074
polygarbor,pmd_l3,few100,43,100,800,complete,,0.10947870900054113,0.7452379976918657,0.7067715830891326,0.6877727188193852,0.7128360168516173,0.708,0.47761194029850745,0.6551724137931034,0.5147058823529411,0.9206349206349206,0.8382352941176471,0.5166666666666667,1.0,0.7796610169491526,,,
polygarbor,pmd_l1,few100,43,100,800,complete,,0.01230316199871595,0.7827245735865919,0.7708023851983377,0.7591750228743186,0.7773917103166071,0.774,0.7761194029850746,0.8103448275862069,0.4852941176470588,0.9365079365079365,0.8676470588235294,0.75,1.0,0.5932203389830508,,,
polygarbor,nearest_centroid,few100,43,100,800,complete,,0.001400320998072857,0.6924099110383516,0.6349195412006626,0.6110141063733102,0.6361736711472439,0.63,0.5970149253731343,0.41379310344827586,0.4852941176470588,0.6507936507936508,0.5147058823529411,0.55,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,few100,43,100,800,complete,,0.00677724799970747,0.8489985213704898,0.8173051429550439,0.8081276721284325,0.818752208133094,0.816,0.6716417910447762,0.603448275862069,0.7647058823529411,0.8095238095238095,0.8676470588235294,0.85,1.0,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,few100,43,100,800,complete,,0.7162768300004245,0.8951594859995422,0.8622320185353758,0.857728591239949,0.8628406197887153,0.86,0.746268656716418,0.7413793103448276,0.7794117647058824,0.8888888888888888,0.8970588235294118,0.8666666666666667,1.0,0.9830508474576272,10.0,0.1,0.8951594859995422
polygarbor,pmd_l3,full,43,500,2800,complete,,0.4145635340028093,0.8268782053192651,0.805394756854946,0.7923421495822015,0.8122542418676053,0.808,0.8507462686567164,0.8448275862068966,0.4852941176470588,0.9365079365079365,0.8823529411764706,0.6,1.0,0.8983050847457628,,,
polygarbor,pmd_l1,full,43,500,2800,complete,,0.03414421900015441,0.8178983174732715,0.8183959976406968,0.8114380976513194,0.8240168065631133,0.82,0.8507462686567164,0.896551724137931,0.5294117647058824,0.9365079365079365,0.8676470588235294,0.8,0.9824561403508771,0.7288135593220338,,,
polygarbor,nearest_centroid,full,43,500,2800,complete,,0.004220901002554456,0.6912895313773174,0.6554545100433455,0.6351163542210521,0.6567469583622844,0.652,0.6716417910447762,0.46551724137931033,0.5294117647058824,0.6507936507936508,0.5588235294117647,0.5,0.8947368421052632,0.9830508474576272,,,
polygarbor,svm_default,full,43,500,2800,complete,,0.0514518029995088,0.9001712739575227,0.8795365256304759,0.8757827320556955,0.88054892759288,0.878,0.8059701492537313,0.7241379310344828,0.8088235294117647,0.9047619047619048,0.8676470588235294,0.95,1.0,0.9830508474576272,1.0,scale,
polygarbor,svm_tuned,full,43,500,2800,complete,,4.184328682000341,0.9349571142331983,0.9333166893359166,0.9327282601819458,0.9339721248010822,0.932,0.8656716417910447,0.8793103448275862,0.8970588235294118,0.9682539682539683,0.9117647058823529,0.9666666666666667,1.0,0.9830508474576272,10.0,0.1,0.9349571142331983
polygarbor_aug,pmd_l3,few1,42,1,32,complete,,0.008600393997767242,0.3476308766297205,0.3137582346629481,0.1296267661047854,0.35368059585914274,0.334,0.014925373134328358,0.15517241379310345,0.08823529411764706,0.015873015873015872,0.04411764705882353,0.6333333333333333,0.8947368421052632,0.9830508474576272,,,
polygarbor_aug,pmd_l1,few1,42,1,32,complete,,0.005416103998868493,0.3625380670991809,0.3151209299774276,0.15744569852929807,0.3699368175151264,0.35,0.04477611940298507,0.15517241379310345,0.04411764705882353,0.06349206349206349,0.029411764705882353,0.85,0.7894736842105263,0.9830508474576272,,,
polygarbor_aug,nearest_centroid,few1,42,1,32,complete,,0.0011648450017673895,0.4981712970198412,0.4812562462439713,0.3635723129686216,0.5062701030527976,0.49,0.08955223880597014,0.25862068965517243,0.4852941176470588,0.3333333333333333,0.10294117647058823,0.85,0.9473684210526315,0.9830508474576272,,,
polygarbor_aug,svm_default,few1,42,1,32,complete,,0.0013926669998909347,0.4969446562662445,0.4911999379552735,0.38136786604989786,0.515271054179517,0.5,0.11940298507462686,0.25862068965517243,0.5441176470588235,0.3333333333333333,0.10294117647058823,0.8333333333333334,0.9473684210526315,0.9830508474576272,1.0,scale,
polygarbor_aug,svm_tuned,few1,42,1,32,complete,,0.10223293799936073,0.5017869058177622,0.48690180356321333,0.374089697675579,0.5134328188853994,0.498,0.11940298507462686,0.25862068965517243,0.5441176470588235,0.3333333333333333,0.08823529411764706,0.8333333333333334,0.9473684210526315,0.9830508474576272,0.1,scale,0.5017869058177622
polygarbor_aug,pmd_l3,few2,42,2,64,complete,,0.010967774000164354,0.4189072183971964,0.44011831623620246,0.0,0.49586305653562374,0.48,0.6417910447761194,0.896551724137931,0.27941176470588236,0.0,0.10294117647058823,0.13333333333333333,0.9298245614035088,0.9830508474576272,,,
polygarbor_aug,pmd_l1,few2,42,2,64,complete,,0.005992081998556387,0.25087966464862727,0.25296737455154483,0.0,0.2685569755730866,0.26,0.19402985074626866,0.46551724137931033,0.19117647058823528,0.0,0.058823529411764705,0.15,0.12280701754385964,0.9661016949152542,,,
polygarbor_aug,nearest_centroid,few2,42,2,64,complete,,0.0012175419979030266,0.4981970986982417,0.5004943863326217,0.4168282230309208,0.5145376558595115,0.498,0.11940298507462686,0.39655172413793105,0.19117647058823528,0.49206349206349204,0.3235294117647059,0.7333333333333333,0.8771929824561403,0.9830508474576272,,,
polygarbor_aug,svm_default,few2,42,2,64,complete,,0.001459529001294868,0.5315164335114597,0.48511232857837355,0.35336350614837536,0.5036842926092173,0.486,0.04477611940298507,0.25862068965517243,0.27941176470588236,0.38095238095238093,0.23529411764705882,0.9,0.9473684210526315,0.9830508474576272,1.0,scale,
polygarbor_aug,svm_tuned,few2,42,2,64,complete,,0.12464570399970398,0.5568624686031248,0.49916974844788387,0.37967716271124397,0.5182290588773646,0.504,0.05970149253731343,0.2413793103448276,0.5441176470588235,0.30158730158730157,0.23529411764705882,0.8333333333333334,0.9473684210526315,0.9830508474576272,10.0,0.1,0.5568624686031248
polygarbor_aug,pmd_l3,few5,42,5,160,complete,,0.020566103998135077,0.5062776966812161,0.5116674946999014,0.0,0.545496697474731,0.536,0.7164179104477612,0.6379310344827587,0.3088235294117647,0.0,0.4852941176470588,0.25,0.9824561403508771,0.9830508474576272,,,
polygarbor_aug,pmd_l1,few5,42,5,160,complete,,0.013175006999517791,0.43605095615540757,0.43684215991571473,0.0,0.45860334646933687,0.452,0.7014925373134329,0.41379310344827586,0.3235294117647059,0.0,0.3235294117647059,0.16666666666666666,0.8245614035087719,0.9152542372881356,,,
polygarbor_aug,nearest_centroid,few5,42,5,160,complete,,0.002232656999694882,0.5113176442882592,0.5254524437041086,0.46746260875593154,0.5275015627430657,0.518,0.31343283582089554,0.20689655172413793,0.3382352941176471,0.4444444444444444,0.45588235294117646,0.5833333333333334,0.8947368421052632,0.9830508474576272,,,
polygarbor_aug,svm_default,few5,42,5,160,complete,,0.0019709970001713373,0.6409287920465875,0.6087303891328386,0.5541124693939514,0.6109584024003107,0.6,0.23880597014925373,0.41379310344827586,0.5294117647058824,0.4126984126984127,0.5441176470588235,0.7833333333333333,0.9824561403508771,0.9830508474576272,1.0,scale,
polygarbor_aug,svm_tuned,few5,42,5,160,complete,,0.18930651299888268,0.6409287920465875,0.6087303891328386,0.5541124693939514,0.6109584024003107,0.6,0.23880597014925373,0.41379310344827586,0.5294117647058824,0.4126984126984127,0.5441176470588235,0.7833333333333333,0.9824561403508771,0.9830508474576272,1.0,scale,0.6409287920465875
polygarbor_aug,pmd_l3,few10,42,10,320,complete,,0.032627551998302806,0.5665062941363872,0.5538169782575038,0.4745322660630497,0.5832790986086547,0.574,0.8059701492537313,0.7241379310344828,0.2647058823529412,0.47619047619047616,0.38235294117647056,0.1,0.9298245614035088,0.9830508474576272,,,
polygarbor_aug,pmd_l1,few10,42,10,320,complete,,0.009476872000959702,0.5260395111876452,0.5385105621380688,0.4007112380983089,0.5506814509241701,0.536,0.4626865671641791,0.7586206896551724,0.029411764705882353,0.5555555555555556,0.45588235294117646,0.3,0.8771929824561403,0.9661016949152542,,,
polygarbor_aug,nearest_centroid,few10,42,10,320,complete,,0.001467885998863494,0.5936839592967768,0.5868087625389882,0.5308511291077802,0.5992965468200727,0.596,0.6119402985074627,0.13793103448275862,0.47058823529411764,0.5873015873015873,0.5588235294117647,0.55,0.8947368421052632,0.9830508474576272,,,
polygarbor_aug,svm_default,few10,42,10,320,complete,,0.003003068999532843,0.7397329103678426,0.7311407134663439,0.7134088544432523,0.7311558793875119,0.728,0.8059701492537313,0.5344827586206896,0.5735294117647058,0.5873015873015873,0.75,0.65,0.9649122807017544,0.9830508474576272,1.0,scale,
polygarbor_aug,svm_tuned,few10,42,10,320,complete,,0.3030496579995088,0.7397329103678426,0.7311407134663439,0.7134088544432523,0.7311558793875119,0.728,0.8059701492537313,0.5344827586206896,0.5735294117647058,0.5873015873015873,0.75,0.65,0.9649122807017544,0.9830508474576272,1.0,scale,0.7397329103678426
polygarbor_aug,pmd_l3,few20,42,20,640,complete,,0.06974376600192045,0.5892046873062682,0.6011408081505517,0.5110188890366274,0.6227589882250191,0.618,0.746268656716418,0.6379310344827587,0.29411764705882354,0.6984126984126984,0.6617647058823529,0.08333333333333333,0.8771929824561403,0.9830508474576272,,,
polygarbor_aug,pmd_l1,few20,42,20,640,complete,,0.017590487997949822,0.5762862343798151,0.5793037831787213,0.47384815698294075,0.5982344697096991,0.584,0.5970149253731343,0.9482758620689655,0.058823529411764705,0.7777777777777778,0.36764705882352944,0.4,0.7719298245614035,0.864406779661017,,,
