vectors,method,scenario,seed,images_per_class,fitted_vectors,status,error,fit_seconds,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_tumor,recall_stroma,recall_complex,recall_lympho,recall_debris,recall_mucosa,recall_adipose,recall_empty
polygarbor_aug,pmd_l1_standardized,few1,43,1,32,complete,,0.0069156270001258235,0.2778140746526674,0.26958105391638093,0.0,0.32525140865625396,0.308,0.014925373134328358,0.6896551724137931,0.0,0.15873015873015872,0.25,0.16666666666666666,1.0,0.3220338983050847
polygarbor_aug,pmd_l3_standardized,few2,43,2,64,complete,,0.010005938001995673,0.4989580654167737,0.4685804475989237,0.0,0.5212421574474417,0.506,0.6865671641791045,0.8793103448275862,0.014705882352941176,0.0,0.36764705882352944,0.5333333333333333,0.8070175438596491,0.8813559322033898
polygarbor_aug,pmd_l1_standardized,few2,43,2,64,complete,,0.0059918970000580885,0.44820284358696294,0.4090036687749526,0.0,0.4643549087682911,0.448,0.44776119402985076,0.5517241379310345,0.029411764705882353,0.0,0.3088235294117647,0.75,1.0,0.6271186440677966
polygarbor_aug,pmd_l3_standardized,few5,43,5,160,complete,,0.021072147999802837,0.4699560430621355,0.4470777123080074,0.3254146752852886,0.4997869709235323,0.48,0.08955223880597014,0.3275862068965517,0.04411764705882353,0.6031746031746031,0.22058823529411764,0.9166666666666666,1.0,0.7966101694915254
polygarbor_aug,pmd_l1_standardized,few5,43,5,160,complete,,0.007892303001426626,0.45538571084606083,0.45454314347792946,0.28373354551378416,0.505242657542327,0.488,0.014925373134328358,0.39655172413793105,0.04411764705882353,0.5555555555555556,0.5,0.6833333333333333,1.0,0.847457627118644
polygarbor_aug,pmd_l3_standardized,few10,43,10,320,complete,,0.04619843600085005,0.5704758606624977,0.5473231395353029,0.3528252614243882,0.6224763636957992,0.602,0.029850746268656716,0.7586206896551724,0.029411764705882353,0.9206349206349206,0.5441176470588235,0.8666666666666667,1.0,0.8305084745762712
polygarbor_aug,pmd_l1_standardized,few10,43,10,320,complete,,0.011488481999549549,0.5221299599038904,0.4828293465767306,0.3484164568916606,0.5345635533742212,0.52,0.1044776119402985,0.6724137931034483,0.058823529411764705,0.7301587301587301,0.6617647058823529,0.11666666666666667,1.0,0.9322033898305084
polygarbor_aug,pmd_l3_standardized,few20,43,20,640,complete,,0.10293324200029019,0.7041811472967877,0.6529186368924778,0.6002196347456461,0.6836601547973127,0.668,0.23880597014925373,0.7241379310344828,0.22058823529411764,0.8253968253968254,0.6617647058823529,0.8833333333333333,1.0,0.9152542372881356
polygarbor_aug,pmd_l1_standardized,few20,43,20,640,complete,,0.015487501997995423,0.572914250538831,0.5566582201780361,0.4915347668816037,0.5895478447667835,0.582,0.3880597014925373,0.8103448275862069,0.11764705882352941,0.7777777777777778,0.8676470588235294,0.25,0.8947368421052632,0.6101694915254238
polygarbor_aug,pmd_l3_standardized,few50,43,50,1600,complete,,0.3560901649980224,0.7406365485672435,0.7151709602549166,0.6725479985766925,0.7341943481452644,0.722,0.7014925373134329,0.8793103448275862,0.20588235294117646,0.9206349206349206,0.6176470588235294,0.6333333333333333,1.0,0.9152542372881356
polygarbor_aug,pmd_l1_standardized,few50,43,50,1600,complete,,0.019402956000703853,0.7491176180060488,0.7326435391446914,0.7035418844318929,0.7412773121786842,0.736,0.7910447761194029,0.7758620689655172,0.29411764705882354,0.873015873015873,0.8676470588235294,0.6166666666666667,1.0,0.711864406779661
polygarbor_aug,pmd_l3_standardized,few100,43,100,2800,complete,,1.0300522840007034,0.7728876169159802,0.7487458171608858,0.710038678188822,0.7677165793566045,0.758,0.835820895522388,0.896551724137931,0.22058823529411764,0.9523809523809523,0.7058823529411765,0.7,1.0,0.8305084745762712
polygarbor_aug,pmd_l1_standardized,few100,43,100,2800,complete,,0.02631611800097744,0.7935115419334633,0.785024724102642,0.7720419762079583,0.7888522700326994,0.786,0.8507462686567164,0.7586206896551724,0.47058823529411764,0.8888888888888888,0.8970588235294118,0.75,1.0,0.6949152542372882
polygarbor_aug,pmd_l3_standardized,full,43,500,2800,complete,,1.4319633470004192,0.8119822805845177,0.7853000563114079,0.752380888861802,0.8024226562504645,0.792,0.7910447761194029,0.9482758620689655,0.2647058823529412,0.9365079365079365,0.7794117647058824,0.7333333333333333,1.0,0.9661016949152542
polygarbor_aug,pmd_l1_standardized,full,43,500,2800,complete,,0.030589125002734363,0.7919795999554273,0.8033427378893532,0.7936664456998231,0.8081886487736578,0.806,0.8656716417910447,0.7931034482758621,0.5147058823529411,0.9365079365079365,0.9117647058823529,0.7833333333333333,0.9824561403508771,0.6779661016949152
