method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error,epochs
nearest_centroid,few5,44,5.0,0.0010194650003541,complete,,,0.4213004815781002,0.4250388574169291,0.3287924549686762,0.4342584641497382,0.5103064066852367,0.8565022421524664,0.9881936245572608,0.168141592920354,0.3817034700315457,0.2869565217391304,0.0709459459459459,0.184885290148448,0.3586698337292161,0.6123276561232766,,,
pmd_l3,few5,44,5.0,0.0097054699999716,complete,,,0.3076986181584433,0.2306936421295513,0.1418518298716269,0.2938180638893413,0.2935933147632312,0.038863976083707,1.0,0.3333333333333333,0.3406940063091482,0.0231884057971014,0.3158783783783784,0.0229419703103913,0.0617577197149643,0.5077047850770479,,,
gabor_svm,few10,44,10.0,0.0016916849999688,complete,1.0,scale,0.570204592498153,0.4881911404474686,0.3688182290275349,0.4851784958832785,0.5501392757660167,0.8572496263079222,0.9940968122786304,0.1297935103244837,0.7823343848580442,0.4251207729468599,0.152027027027027,0.5681511470985156,0.1163895486935867,0.3414436334144363,,,
svm_tuned,few10,44,10.0,0.1328218379994723,complete,1000.0,0.0001,0.6129129543060258,0.6438923913218709,0.6014938494868508,0.6617971767999519,0.6969359331476324,0.8736920777279522,0.9929161747343566,0.7551622418879056,0.7902208201892744,0.6231884057971014,0.2449324324324324,0.8124156545209177,0.2707838479809976,0.5928629359286294,0.6129129543060258,,
nearest_centroid,few10,44,10.0,0.0011094629999206,complete,,,0.4778870257503366,0.4631093645956096,0.380023640943392,0.5121774196794722,0.5391364902506964,0.9035874439461884,0.9976387249114522,0.7020648967551623,0.7082018927444795,0.3188405797101449,0.0557432432432432,0.5006747638326585,0.1543942992874109,0.2684509326845093,,,
pmd_l3,few10,44,10.0,0.0129282389998479,complete,,,0.321863597065144,0.2003616386808307,0.1118744672348623,0.2817407304901672,0.2345403899721448,0.0822122571001494,1.0,0.696165191740413,0.4905362776025236,0.0241545893719806,0.0152027027027027,0.0418353576248313,0.1401425178147268,0.0454176804541768,,,
gabor_svm,few20,44,20.0,0.0022637350002696,complete,1.0,scale,0.5798848292526732,0.4265348129452681,0.3304812231150893,0.4126507059083952,0.4675487465181058,0.9192825112107624,0.9964580873671782,0.1858407079646017,0.4700315457413249,0.2753623188405797,0.1841216216216216,0.2537112010796221,0.2327790973871734,0.1962692619626926,,,
svm_tuned,few20,44,20.0,0.194495654000093,complete,1000.0,0.001,0.6485099033758762,0.6529296244406599,0.598300543177592,0.6560879859045508,0.7213091922005571,0.9095665171898356,0.9940968122786304,0.3687315634218289,0.9022082018927444,0.714975845410628,0.3141891891891892,0.7341430499325237,0.2945368171021377,0.6723438767234388,0.6485099033758762,,
nearest_centroid,few20,44,20.0,0.0010528230004638,complete,,,0.4977078220140234,0.3949948496684555,0.2565967167420909,0.4589981140145592,0.4732590529247911,0.9013452914798208,0.9976387249114522,0.6814159292035398,0.7255520504731862,0.2888888888888888,0.0118243243243243,0.2537112010796221,0.2114014251781472,0.0592051905920519,,,
pmd_l3,few20,44,20.0,0.0221017189996928,complete,,,0.4146047285421215,0.2596546672616854,0.1964238492483608,0.3064454420454627,0.2871866295264624,0.1704035874439461,1.0,0.4365781710914454,0.5583596214511041,0.0338164251207729,0.0962837837837837,0.1997300944669365,0.0973871733966745,0.1654501216545012,,,
gabor_svm,few1,45,1.0,0.0013997189998917,complete,1.0,scale,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.1238938053097345,0.3832807570977918,0.2077294685990338,0.0320945945945945,0.3643724696356275,0.0950118764845605,0.1273317112733171,,,
svm_tuned,few1,45,1.0,0.0836208000000624,complete,0.1,0.0001,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.1238938053097345,0.3832807570977918,0.2077294685990338,0.0320945945945945,0.3643724696356275,0.0950118764845605,0.1273317112733171,0.366018511766328,,
nearest_centroid,few1,45,1.0,0.0011234699995839,complete,,,0.366018511766328,0.3415205674132234,0.2195485656918847,0.3535635094399321,0.4137883008356546,0.8542600896860987,0.9940968122786304,0.1238938053097345,0.3832807570977918,0.2077294685990338,0.0320945945945945,0.3643724696356275,0.0950118764845605,0.1273317112733171,,,
gabor_svm,few2,45,2.0,0.001184806999845,complete,1.0,scale,0.3896327858553998,0.4078131548180029,0.3092359465317048,0.4350190289695829,0.4649025069637883,0.9043348281016442,0.9976387249114522,0.4985250737463126,0.4826498422712933,0.2415458937198067,0.054054054054054,0.4197031039136302,0.2161520190023753,0.1005677210056772,,,
svm_tuned,few2,45,2.0,0.0883148909997544,complete,1.0,0.1,0.4236263696006215,0.3952741550936189,0.2920458465416397,0.4379074854371194,0.4632311977715877,0.914050822122571,0.9893742621015348,0.504424778761062,0.5236593059936908,0.2154589371980676,0.0337837837837837,0.4156545209176788,0.2636579572446555,0.08110300081103,0.4236263696006215,,
