method,scenario,seed,images_per_class,fit_seconds,status,C,gamma,val_macro_f1,macro_f1,multiclass_gmean,balanced_accuracy,accuracy,recall_ADI,recall_BACK,recall_DEB,recall_LYM,recall_MUC,recall_MUS,recall_NORM,recall_STR,recall_TUM,selection_val_macro_f1,error
gabor_svm,few20,42,20,0.002225533999990148,complete,1.0,scale,0.6224864124792855,0.48723988981688354,0.44948497213127386,0.5043935072002208,0.5328690807799443,0.8632286995515696,0.9964580873671782,0.4808259587020649,0.4968454258675079,0.28019323671497587,0.2989864864864865,0.5708502024291497,0.27315914489311166,0.27899432278994324,,
svm_tuned,few20,42,20,0.19739421400026913,complete,1000.0,0.001,0.6730489292595777,0.5644175303812827,0.5256154604335583,0.6077478069282102,0.6015320334261839,0.8094170403587444,0.9787485242030697,0.855457227138643,0.9116719242902208,0.28599033816425123,0.24155405405405406,0.7773279352226721,0.28028503562945367,0.32927818329278186,0.6730489292595777,
nearest_centroid,few20,42,20,0.001784471999599191,complete,,,0.4690087664521934,0.45932016769267414,0.3720523289231732,0.5069943941293337,0.5071030640668523,0.8303437967115097,0.9893742621015348,0.7050147492625368,0.8138801261829653,0.1642512077294686,0.13513513513513514,0.631578947368421,0.17577197149643706,0.11759935117599352,,
pmd_l3,few20,42,20,0.022942501000215998,complete,,,0.286475239841892,0.17462502452596226,0.09876236330416227,0.31274457519159377,0.24331476323119777,0.033632286995515695,1.0,0.9380530973451328,0.11356466876971609,0.02608695652173913,0.6131756756756757,0.05398110661268556,0.011876484560570071,0.024330900243309004,,
gabor_svm,few1,43,1,0.0013698089996978524,complete,1.0,scale,0.3041052699697969,0.21339001071213126,0.0,0.25318798246428753,0.2639275766016713,0.827354260089686,0.0,0.6519174041297935,0.4526813880126183,0.10241545893719807,0.05912162162162162,0.04048582995951417,0.0855106888361045,0.059205190592051905,,
svm_tuned,few1,43,1,0.08296536899979401,complete,0.1,0.0001,0.3041052699697969,0.21339001071213126,0.0,0.25318798246428753,0.2639275766016713,0.827354260089686,0.0,0.6519174041297935,0.4526813880126183,0.10241545893719807,0.05912162162162162,0.04048582995951417,0.0855106888361045,0.059205190592051905,0.3041052699697969,
nearest_centroid,few1,43,1,0.0010918140005742316,complete,,,0.3041052699697969,0.21339001071213126,0.0,0.25318798246428753,0.2639275766016713,0.827354260089686,0.0,0.6519174041297935,0.4526813880126183,0.10241545893719807,0.05912162162162162,0.04048582995951417,0.0855106888361045,0.059205190592051905,,
pmd_l3,few1,43,1,,undefined,,,,,,,,,,,,,,,,,,IndexError: tuple index out of range
gabor_svm,few2,43,2,0.0011508080006024102,complete,1.0,scale,0.33720314356852493,0.2070733661793209,0.14498118606209018,0.20635318207385628,0.2232590529247911,0.5201793721973094,0.12514757969303425,0.18584070796460178,0.48738170347003157,0.07246376811594203,0.060810810810810814,0.2793522267206478,0.05463182897862233,0.07137064071370641,,
svm_tuned,few2,43,2,0.08613667100053135,complete,10.0,0.1,0.38390996731852534,0.2272674550924072,0.17776693069547933,0.25915302927478184,0.2575208913649025,0.3094170403587444,0.5997638724911453,0.11504424778761062,0.37381703470031546,0.0647342995169082,0.048986486486486486,0.5168690958164642,0.2494061757719715,0.054339010543390104,0.38390996731852534,
