campaign,method,scenario,seed,path,train_seconds,model_mb,rss_peak_mb,evaluation,macro_f1,multiclass_gmean,balanced_accuracy,accuracy
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_resolution,0.3915649939614038,0.0,0.4888100097433229,0.476
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_occlusion,0.39652758907844887,0.0,0.44198854504219287,0.426
2026-09-15_svm,gabor_svm,full,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed42,22.068625552998128,0.349531,1013.28896,test_rotation,0.7972853724214886,0.7859410584535177,0.7969916133479162,0.794
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,train,0.8894518745742939,0.8881667983902546,0.889590992626703,0.88975
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,val_clean,0.9001712739575227,0.9020149488273087,0.903792679646309,0.902
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_clean,0.8795365256304759,0.8757827320556955,0.88054892759288,0.878
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_blur,0.44050068483493465,0.0,0.5192570393014149,0.504
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_noise,0.3766517139446739,0.0,0.4777024913901417,0.474
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_brightness,0.6630873139242072,0.6017181906888465,0.6801529324077793,0.666
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_color,0.6285329830621463,0.5674827841119977,0.639350140717474,0.634
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_jpeg,0.8432688298239748,0.8346996547021786,0.8442800043298113,0.842
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_resolution,0.45598031339952255,0.0,0.5281881995299508,0.514
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_occlusion,0.4044847613125654,0.0,0.4422355352433171,0.422
2026-09-15_svm,gabor_svm,full,43,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/full__gabor_svm__seed43,19.768756801000563,0.344339,1013.198848,test_rotation,0.8067385635741329,0.7967180343109213,0.8065376843067511,0.802
2026-09-15_svm,gabor_svm,imbalance,42,/home/ralph/projects/ufsc/viscomp/colorectal_histology_classification/comparison/runs/2026-09-15_svm/imbalance__gabor_svm__seed42,10.442966265003633,0.139002,753.913856,train,0.7184014457844313,0.561832603784131,0.6814387480069402,0.9123125851885506
